PRODUTO;UNIDADE;ANO;REGIAO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA;b;2005;REGIAO NORDESTE;ALAGOAS;227996,6181;208264,6664;224246,256;212032,011;212684,5788;200506,5632;195940,1611;215620,9766;215709,034;218224,958;218004,8146;222890,6132;2572121,251
TERRA;b;2005;REGIAO NORDESTE;SERGIPE;1023226,291;912601,1125;1001903,835;987682,5745;988041,0937;973926,76;1001356,621;986160,4405;977266,6491;1025704,476;1012722,308;1017930,271;11908522,43
TERRA;b;2005;REGIAO NORDESTE;BAHIA;1300924,296;1192245,751;1379719,827;1320801,793;1366575,383;1308576,101;1338320,613;1389249,204;1350717,828;1407112,265;1379242,116;1410236,413;16143721,59
TERRA;b;2005;REGIAO SUDESTE;ESPIRITO SANTO;579184,5742;528274,8521;574058,3791;543697,4662;560478,6793;546521,5909;545867,4507;522022,781;497498,8118;492020,3873;470936,9441;477358,8401;6337920,757
TERRA;b;2006;REGIAO NORTE;AMAZONAS;1116378,377;965454,386;1125599,238;1131398,443;1132033,714;1100270,173;1121057,996;1123794,063;1012741,178;1107723,598;1066022,158;1059568,813;13062042,14
TERRA;b;2006;REGIAO NORDESTE;CEARA;45539,48236;41085,03892;50488,30487;38726,36017;51211,63302;58419,75528;44852,63511;43940,61266;42519,1156;43689,02026;50526,04373;47594,99227;558592,9943
TERRA;b;2006;REGIAO NORDESTE;RIO GRANDE DO NORTE;1838354,469;1660896,978;1786257,105;1718814,303;1753105,278;1674669,46;1743572,756;1739497,777;1652532,285;1645240,634;1572296,324;1649936,606;20435173,98
TERRA;b;2006;REGIAO NORDESTE;ALAGOAS;232300,798;226969,6808;270675,6835;254643,3981;239313,6908;224410,2313;234179,8787;244467,8064;253401,0978;263615,0573;246119,0702;245314,9558;2935411,349
TERRA;b;2006;REGIAO NORDESTE;SERGIPE;1035575,075;921117,5153;1011464,346;984047,0643;1001274,854;973838,7027;995934,8052;1005828,676;984682,3351;1042296,995;1019829,793;1068003,448;12043893,61
TERRA;b;2006;REGIAO NORDESTE;BAHIA;1353626,991;1233380,479;1347649,105;1290044,182;1352635,78;1264329,992;1305141,928;1299175,225;1273076,413;1338550,002;1299989,378;1345495,525;15703095
TERRA;b;2006;REGIAO SUDESTE;ESPIRITO SANTO;484354,3668;442117,0347;463558,997;452344,2658;494624,3686;484585,8318;520714,5005;577995,8001;565573,4254;582807,5048;528564,1834;505304,466;6102544,745
TERRA;b;2007;REGIAO NORTE;AMAZONAS;1080142,781;970404,4664;1081281,237;1012967,611;1026905,83;1053511,726;1061568,973;1045492,218;972819,7535;992651,5244;997173,8978;980682,016;12275602,03
TERRA;b;2007;REGIAO NORDESTE;CEARA;54545,23232;51928,67136;59734,32557;55979,309;55796,90451;54796,82472;59790,93386;56432,17532;57658,68827;53394,19709;48613,94149;59312,9083;667984,1118
TERRA;b;2007;REGIAO NORDESTE;RIO GRANDE DO NORTE;1677146,45;1507356,426;1662963,621;1543574,347;1667826,713;1635614,099;1650522,502;1681158,575;1632448,419;1669578,174;1619362,897;1728518,354;19676070,58
TERRA;b;2007;REGIAO NORDESTE;ALAGOAS;245580,8512;226621,7914;265834,0394;264622,5591;252126,6565;241026,5381;253695,6684;242655,6493;226011,6169;233290,6254;226911,3743;218622,0337;2896999,404
TERRA;b;2007;REGIAO NORDESTE;SERGIPE;1061329,96;972631,3485;1070635,105;1078547,057;1062396,083;1086888,603;1084389,12;1107705,635;1101728,667;1106205,936;1066691,381;1089861,909;12889010,8
TERRA;b;2007;REGIAO NORDESTE;BAHIA;1301358,104;1151399,536;1292815,221;1269979,374;1309029,533;1295705,703;1303031,067;1288712,755;1283323,08;1357512,773;1317406,365;1354309,058;15524582,57
TERRA;b;2007;REGIAO SUDESTE;ESPIRITO SANTO;535470,3947;515280,1046;536118,2452;563516,6575;547351,8458;503417,523;480906,293;455734,4734;460149,92;460395,2226;441123,2447;463024,3632;5962488,288
TERRA;b;2008;REGIAO NORTE;AMAZONAS;1001985,602;934527,3902;1004683,931;967932,5711;975794,8336;955510,1963;978600,0889;996601,5251;961605,0222;966095,9466;943546,9777;970297,5397;11657181,62
TERRA;b;2008;REGIAO NORDESTE;CEARA;49047,93838;43550,64444;44173,33563;50631,83833;53584,46384;50672,09312;59930,81923;63230,45356;63564,19088;71397,64605;72217,83727;76802,92007;698804,1808
TERRA;b;2008;REGIAO NORDESTE;RIO GRANDE DO NORTE;1688737,488;1584537,892;1761998,264;1504533,792;1564843,264;1484465,587;1597434,424;1654165,954;1603315,05;1628926,786;1561430,979;1573160,588;19207550,07
TERRA;b;2008;REGIAO NORDESTE;ALAGOAS;215631,4806;185891,5607;193593,5588;194197,1919;198712,4831;184575,597;186577,7789;179026,233;152433,5454;114227,5412;163064,1419;170776,3925;2138707,505
TERRA;b;2008;REGIAO NORDESTE;SERGIPE;1110125,413;987896,9564;1046337,386;1010962,054;1066945,417;1039044,675;1040546,597;1046209,884;1019056,122;1038053,191;953071,4051;1012761,546;12371010,65
TERRA;b;2008;REGIAO NORDESTE;BAHIA;1303926,925;1227150,988;1287368,019;1239693,252;1248424,988;1218000,252;1257092,696;1271782,977;1258557,029;1313584,689;1243315,442;1287162,577;15156059,83
TERRA;b;2008;REGIAO SUDESTE;ESPIRITO SANTO;464044,2634;436235,756;446530,9114;422999,4591;444116,2508;403008,3044;403975,1048;403590,8415;391860,5722;447727,6207;423465,4208;420047,7268;5107602,232
TERRA;b;2009;REGIAO NORTE;AMAZONAS;1018678,758;930181,1315;976499,2923;1013351,289;1042120,88;1027012,756;1060090,867;1041284,335;1000035,761;1043410,291;1085206,079;1113151,704;12351023,15
TERRA;b;2009;REGIAO NORDESTE;CEARA;68605,85098;61271,80673;67494,88184;63674,82864;64145,49512;58148,34998;67013,90007;68105,18211;64090,77377;62133,69939;57211,41988;58769,53161;760665,7201
TERRA;b;2009;REGIAO NORDESTE;RIO GRANDE DO NORTE;1589029,691;1457122,833;1623945,288;1515117,328;1495143,319;1470852,715;1575105,158;1565747,915;1463945,528;1518803,421;1461268,636;1558662,118;18294743,95
TERRA;b;2009;REGIAO NORDESTE;ALAGOAS;171222,34;156238,2514;176803,7287;173089,0298;170838,0955;177143,8816;187770,0124;206938,46;206126,5084;217814,4699;194581,041;207316,0654;2245881,884
TERRA;b;2009;REGIAO NORDESTE;SERGIPE;1047440,27;953836,0376;1022784,824;1039901,119;1065659,87;1028430,85;1085026,185;1104572,182;1049688,984;1065504,948;1051281,256;1069038,003;12583164,53
TERRA;b;2009;REGIAO NORDESTE;BAHIA;1247817,453;1135283,672;1243754,811;1187783,415;1236396,06;1177488,082;1230043,129;1233479,262;1195579,932;1266546,334;1229328,104;1258855,615;14642355,87
TERRA;b;2009;REGIAO SUDESTE;ESPIRITO SANTO;403240,8513;368452,7927;342015,8407;313996,2845;403892,7586;417706,6784;421032,1449;415277,0034;365589,7341;386316,8909;360391,7093;388710,285;4586622,974
TERRA;b;2010;REGIAO NORTE;AMAZONAS;1082677,575;963756,1373;1086118,101;1130750,593;1167413,895;1130901,548;1138399,002;1136983,794;1068538,082;944496,739;1055511,886;1123945,018;13029492,37
TERRA;b;2010;REGIAO NORDESTE;CEARA;62154,39287;51702,42689;57432,94699;57279,85301;50766,69186;52763,07755;51685,696;60185,24205;57089,02018;58270,0578;56453,12039;58541,7147;674324,2403
TERRA;b;2010;REGIAO NORDESTE;RIO GRANDE DO NORTE;1545957,166;1377781,302;1484179,181;1365358,21;1418975,431;1481869,672;1527969,611;1544974,824;1541316,891;1551121,726;1480475,288;1548343,479;17868322,78
TERRA;b;2010;REGIAO NORDESTE;ALAGOAS;188578,0531;171783,7342;186393,9872;188746,5194;184660,4651;162727,8724;154640,9059;159889,4137;157285,4233;154584,6003;148719,113;171502,5257;2029512,613
TERRA;b;2010;REGIAO NORDESTE;SERGIPE;1047424,546;940972,6104;1042484,551;985049,4216;1044728,139;956442,0358;989494,5864;1000169,025;966999,9883;1021880,148;998132,4636;1026026,128;12019803,64
TERRA;b;2010;REGIAO NORDESTE;BAHIA;1274868,317;1150753,435;1269480,844;1225338,431;1276001,947;1224854,323;1300961,169;1378965,741;1310791,581;1393340,054;1344612,999;1400518,229;15550487,07
TERRA;b;2010;REGIAO SUDESTE;ESPIRITO SANTO;412891,8728;353071,0058;385161,7686;383700,0407;398840,3492;391343,2605;408998,5811;454523,3367;411786,9349;418996,6805;373386,4065;407999,602;4800699,839
TERRA;b;2011;REGIAO NORTE;AMAZONAS;1070638,879;977386,1555;1053234,974;1032076,053;1058273,112;1045580,276;1081004,485;1105610,222;1113999,13;1088421,304;1010397,72;1046696,025;12683318,34
TERRA;b;2011;REGIAO NORDESTE;CEARA;57973,17877;47602,09976;54637,81832;45465,01101;45256,00063;41415,31684;48054,46289;43849,41042;45794,65995;51879,41586;42989,93933;42355,63715;567272,9509
TERRA;b;2011;REGIAO NORDESTE;RIO GRANDE DO NORTE;1612209,544;1467470,16;1606263,997;1546688,628;1451662,876;1455313,841;1572092,372;1591860,261;1531623,065;1576672,89;1573950,127;1609030,67;18594838,43
TERRA;b;2011;REGIAO NORDESTE;ALAGOAS;174186,9101;134320,289;169742,7282;162785,3654;166911,7331;166268,399;171899,4391;164249,6651;151452,093;148814,0475;144105,6141;141437,175;1896173,459
TERRA;b;2011;REGIAO NORDESTE;SERGIPE;1025588,401;917948,1462;1016206,556;948807,9816;986373,4852;963368,5056;991665,2588;983880,4482;961558,478;998299,5858;950762,2757;1000782,697;11745241,82
TERRA;b;2011;REGIAO NORDESTE;BAHIA;1373748,061;1233364,302;1367934,537;1319307,056;1366060,205;1307580,394;1320861,544;1327292,013;1279859,337;1309928,571;1250574,935;1319397,535;15775908,49
